,tweets_VERB
216,Achei o mosquito transmissor do vírus zika velho https://t.co/ZVyEkdKizw
217,"deu zika com os mosquito que era pra combater a dengue,os mosquito viraram multantes....mais uma ciencia deu errado no laboratorio deles"
218,"Evite vírus Zica e picadas dos mosquitos Aedes aegypti,use repelente,mosquiteiro e tela protetora na janela e porta. https://t.co/X7YfuAqWqy"
219,fico bem aflito quando vejo matéria sobre zika e chikungunya e mostra uns mosquitos nos braços das pessoas. os cara é loco??????????
220,Conheça um pouco mais sobre o vírus #Zika e saiba como se proteger. https://t.co/JxhKQwGsuA
221,"Matei um mosquito enorme agora, espero q n seja com zica"
222,"Tem graça não. Dengue, Zika e Chikungunya não são brincadeira. Vamos nos virar amigos! Pau no mosquito!!!!!... https://t.co/aoQMl38APx"
223,"Pegando zika, chikugunya, dengue e microcefalinha com os mosquitos aqui de casa."
224,"krl n to bem to peidando mais fedido q seila oq, cara sera q é o mosquito aere ejipiti ou o zica vírus?"
225,"passa uma borboleta e a pessoa já corre e grita, oh mosquito da zika"
226,'Fecha a janela que um mosquito Zika pode ti morde.'
227,Odeio mosquito pernilongo zica vírus barbeiro formiga  seja lá o que for para de me morder CARALHO
228,"Confira a “Ovillanta”, uma engenhoca simples que promete combater a proliferação dos mosquitos causadores da Zika https://t.co/S1CwvGk2eu"
229,"Bebi tanto, mas tanto, que se o mosquito da zika me picar, quem morre é ele. E de cirrose"
230,Odeio esses mosquitos que se parecem com o da zika
231,"Lembram quando soltaram 10 mil mosquitos para combater o aedes aegypti? Pse, zika e chicungunha 👏😏 bando de fdp"
232,Gostei de um vídeo @YouTube de @ninnjanoob https://t.co/dUrwFVLIbP Plague Inc: Evolved ☯ DENGUE!!! FUI DERROTADO!?! (MOSQUITO ZIKA
233,preocupa se zika eh sexualmente transmissível pra que meu caro todo mundo sabe q vc num trepa. preocupa com o mosquito mesmo
234,dormindo sem ventilador pra ver se um mosquito com zika me pik
235,Adicionei um vídeo a uma playlist @YouTube https://t.co/47rzvpmGgp e Zika Virus TEM RELAÇÃO? - A Farsa ! (Mosquito
236,imagina perder o bv com o mosquito do zika
237,tomara que matá os mosquitos espremendo com as mãos não pegue o zika
238,"Tem mt gnt zika nesse carnaval  Não é isso q vc tá pensando não, é aquele bglh do mosquito msm"
239,"@fernandocabral Ela samba mesmo, com a concordância, regência, até a própria história e a realidade kkkk com o vírus do mosquito Zika"
240,"Tem um mosquito zumbindo aqui, estou com medo de ser mais uma vítima da zika"
241,Gostei de um vídeo @YouTube de @pirulla25 https://t.co/XVvhiLoyyI #Zika: Água parada pra combater mosquito??? (#Pirula 125)
242,chega uns mosquito perto de mim e ja acho que vou pegar a zika
243,"mano 100% de chance de pegar zika, muito mosquito, que issooooooo"
244,daí começaram associar o mosquito do dengue/zika à microcefalia... e os agrotóxicos FICAM AONDE nessa história?
245,"Gostei dessa Ala prevenida, com a tela pra se prevenir do mosquito. Xô Zika #Mocidade"
246,Picado por 3 mosquitos provavelmente com zika e dps dizem q n existe crise OBRIGADO GOVERNO tudo culpa da DILMA #volta #ditadura
247,Gostei de um vídeo @YouTube de @pirulla25 https://t.co/G2T37wXKM1 #Zika: Água parada pra combater mosquito??? (#Pirula 125)
248,Gostei de um vídeo @YouTube de @talvanesaraujo https://t.co/g5JEqt2uU1 MosquitoTransgênico - Zika e Microcefalia - Qual a Relação?
249,Gostei de um vídeo @YouTube de @pirulla25 https://t.co/yEAfMqzc4P #Zika: Água parada pra combater mosquito??? (#Pirula 125)
250,@marisascruz BOM DIA! com as ervas daninhas vem os mosquitos e com os mosquitos a zika!!
