,tweets_VBG
238,"Com a suspeita da possibilidade de transmissão do zika vírus pela saliva e pelo sêmen, que tal mudar o nome do mosquito para AIDS Aegypti?!"
239,daqui a pouco vão descobrir q todo mundo nasce com zika virus e na realidade o mosquito transmite a cura
240,"ZIKA  A situação cada vez fica mais preocupante!  Além da transmissão do vírus da Zika pelo mosquito,... https://t.co/LX9OXRCn9h"
241,"Com a quantidade de mosquitos que tem aqui em casa vou ficar com dengue,zica vírus,osteoporose,ebola,aids,tétano,hemorroida,poliomielite."
242,E a Guerra contra o Zika continua Baixas atualizadas  148 mosquitos  3 soldados  1 lança fumaça  2raquetes elétricas  560 frascos de Baygon
243,atenção a zika não é mais vinda pelo mosquito É UM VÍRUS  acabou humanidade
244,"Ajude a evitar a proliferação do mosquito que provoca o Zika vírus e a Dengue | Obras, Reformas,... https://t.co/AHt0AURxzQ"
245,Quando a presidenta dá uma de bióloga e fala sobre o mosquito transmissor da zica a coisa está feia o.0
246,É a coisa mais certa a se fazer.O Ministério da saúde está voando mais q o mosquito aedes.Pouco sabem sôbre o Zika. https://t.co/oI1siOQNGB
247,"Cadê a irreverência do brasileiro, não vão fazer nesse carnaval o melô do mosquito, a dança do zika, o Chico Gunha?"
248,"Chegou a hora de combater o mosquito da dengue, zica e cjikungunya. Faça sua parte!... https://t.co/f5AQzGyjir"
249,perdendo  a guerra e torrado milhões de reais no combate ao mosquito. https://t.co/MFkZhmT865 via @CartaCampinas
250,"Vamos a ver carajo..  Este país INFESTADO DE DENGUE, ZIKA Y TODAS LAS M DEL MOSQUITO Y EL SEGURO NO CUBRE PRUEBAS DE Esto???! Q PAIS DE M😠😠"
