,tweets_VBN
221,E a louca falando q zica ? enviado por satan?s kkkkkkkkk vira mosquito e possui seu corpo ???
222,É a favor de projetos que são contra o mosquito transmissor do Zika vírus? Então ajude o Colégio Adventista de... https://t.co/ZGBtCxhOQZ
223,"Com a atual epidemia causada pelo mosquito Aedes aegypti, transmissor da dengue, zika e febre chicungunya,... https://t.co/dtZRWUzzeQ"
224,Retweeted IHU (@_ihu):  O negócio do vírus da zika e os mosquitos transgênicos https://t.co/j0T8dI7YVs... https://t.co/3TsTFEmhSe
225,Retweeted Governo de S. Paulo (@governosp):  #Aedesaegypti Combate ao mosquito da #dengue e Zika Vírus começa em... https://t.co/3NOLtcVBH7
226,'Combate ao mosquito zika.' Kkk tá certo 😂
227,"Se a mosquita é a mulher do mosquito, o Zico é o marido da Zika."
228,Retweeted Época (@RevistaEpoca):  Devemos criar mosquitos transgênicos contra o vírus zika? Responda nossa... https://t.co/GkPQrzv8eq
229,"Se a pessoa leva uma picada do zika vírus e outro mosquito vem e da uma picada nessa pessoa,ele pega zika vírus?! Ele evolui pra zika virus?"
230,Retweeted Época (@RevistaEpoca):  Devemos criar mosquitos transgênicos contra o zika? SIM https://t.co/nvlVKHLgNR... https://t.co/ytiUCgIMjN
231,Quando a gente quer manter o estilo e se proteger da zika https://t.co/YucSzpFjy1
232,"E a @RedeGlobo resolve mudar o nome do mosquito transmissor da Zica, agora é EDSEGIPTI. Foi ideia sua @realwbonner?"
233,do mosquitos in NY have Zika?
234,"Explicado a preocupação da Hope Solo com a zika no Brasil. Com aquela mata Atlântica no 'suvaco das coxas',os mosquitos vão procurar a selva"
235,"Com a diminuição, quase fim, do jornal impresso é óbvio que aumenta a quantidade de mosquitos. Era a melhor arma... #AedesIsBack #ZikaVirus"
236,"Sobre a microcefalia causada por Zika Virus, parece que os governos têm uma leve tendência de preferir matar bebês a matar os mosquitos."
237,Retweeted Estadão (@Estadao):  China testará mosquitos contaminados por bactéria contra zika https://t.co/0XVsaHDt0X https://t.co/kYuPQmHH8s
238,E a Zika tá virada na Porra !!!! Bora cuidar.... se não o mosquito pega...
239,Prevenir a proliferação do mosquito é fundamental para manter a Zika longe  de nós. Faça sua parte: https://t.co/tKob1WMjxC
240,"Cabe a toda a comunidade se mobilizar para impedir o avanço do mosquito transmissor de dengue, zika e... https://t.co/tsTuMlKRyL"
241,Retweeted Luciane Lazzarin (@LucianeLazzarin):  MosquitoTransgênico - Zika e Microcefalia - Qual a Relação?... https://t.co/GlFCe62hJs
