,filtered_tweets_pt
212,#ZikaVirus Milhões de mosquitos geneticamente modificado serão introduzidos nos países afectados pelo vírus ZIKA para controlar a epidemia.
213,"Veja 5 dicas para as gestantes se prevenirem do mosquito transmissor do zika vírus, doença relacionada ao... https://t.co/fZJC7HGylt"
214,"@ddlovatocoolfts o zika q ta flopando tudo, nunca poderia imaginar q o mosquito fizesse tanto estrago kkkkkkkkkkkkkkk"
215,"Gata, eu não sou mosquito transmissor da Zica mas estou doido pra te pegar."
216,Bom seria se as nações resolvem não enviar seus atletas para as #Olimpíadas2016 no #Brasil E a presidente @dilmabr chama de mosquito #Zika 😡
217,Políticos e pessoas públicas deveriam usar as redes sociais para falar sobre o combate ao mosquito Aedes aegypti #Dengue #ZikaVirus
218,"estou procurando aquelas raquetes elétricas pra mata carapanã  sabe, quero me proteger do Zika vírus  quem souber onde tem avisa aí!"
219,FAO pede aumento de combate a mosquito em áreas afetadas pelo zika: A Organização da ONU para a Alimentação e ... https://t.co/6QVsdE3ROP
220,#OperacaoBetaLab  FAO pede aumento de combate a mosquito em áreas afetadas pelo zika https://t.co/r9Erf5mz9A #RT
221,"Caiu a verba para combate ao mosquito Aedes Aegypti,Zika Vírus e Chikungunya, mais tem para ver liga de futebol... https://t.co/cPGVZVSxqP"
222,"Zika é assunto principal em encontro de especialistas nos EUA: &lt;p&gt;&lt;strong&gt;Savannah, Georgia, 09/02/2016&lt;/strong&gt; - Os mosquitos que t..."
223,"@BangPedroGuk da um tapão nele , dps fala q tinha uma mosquito do zika virus"
224,As autoridades temem os mosquitos portadores do Zika https://t.co/uvsRSQFXyH
225,'zika virus é transmitido por beijo'  quem q vai beija um mosquito irmao
226,nuovi record  |#olimpiadi #riodejaneiro ! ... #zika #satira #covino #Olimpiadi2016 #Brazil #Olympics #mosquito https://t.co/SXZo30S9hi
227,Depois do carnaval nossa politica vai explodir... Tão certo como ser mordido por mosquito com Zika.....
228,''zika virus e transmitido por beijo'' se acha mesmo que um mosquito vai ter chance de beija nois?
229,"To cheio de picada de mosquito, mas acho q nenhum era do zika kkkk"
230,Combate ao zika. Matar o mosquito ou cortar as asas ao vírus? - Observador Vera Novais Observador - Especiais -  https://t.co/f6w6GDfa5i
231,resumindo... á meios de matar a larva do mosquito... mas a máquina farmacêutica não vai poupar.... ZIKA VÍRUS?... https://t.co/UHFvi1Rc3C
